job_id,company_name,job_title,job_location,job_language
324,Lastmile Retail                 ,Senior Full-Stack Developer, No office location                ,"['django', 'vue.js', 'amazon-web-services']"
325,Pliancy                 ,Principal Full Stack Engineer," Palo Alto, CA                ","['node.js', 'typescript', 'nestjs', 'vue.js', 'google-cloud-platform']"
326,Hyperscience                 ,Senior Software Engineer - Backend," Sofia, Bulgaria                ","['python', 'django', 'api', 'relational-database']"
327,Hubert Burda Media                 ,Fullstack Software Engineer (m/f/d) Python at Netdoktor," München, Deutschland                ","['python', 'django', 'sass', 'javascript', 'xss']"
328,Hubert Burda Media                 ,Backend Developer (m/f/d) at Netdoktor," München, Deutschland                ","['python', 'django', 'docker', 'sql', 'nosql']"
329,ioki GmbH                 ,Senior Backend Software Developer ioki (f/m/d)," Frankfurt am Main, Deutschland                ","['ruby-on-rails', 'ruby', 'api']"
330,Backtracks                 ,Senior Front End Software Developer," Austin, TX                ","['javascript', 'vue.js', 'ecmascript-6', 'node.js', 'typescript']"
331,Axess AG                 ,SOFTWARE ENGINEER FOR QUALITY ASSURANCE (m/f/x)," Anif, Österreich                ","['qa', 'testing', 'api', 'sql', 'automated-tests']"
332,Miss Moneypenny Technologies GmbH                 ,Software Engineer (f/m/d) - Mobile Wallet and Automation SaaS," Berlin, Deutschland                ","['reactjs', 'saas', 'postgresql']"
333,iubenda                 ,Senior Back-end Developer (Remote)," Milan, Italy                ","['kubernetes', 'ruby-on-rails', 'postgresql', 'ruby', 'mysql']"
334,Smartlane GmbH                 ,Backend Engineer (m/f/d)," München, Germany                ","['python', 'postgresql', 'flask', 'docker', 'kubernetes']"
335,Serrala                 ,Java Backend Developer (m/f/d)," Hamburg, Deutschland                ","['java', 'spring', 'java-ee', 'hibernate', 'kubernetes']"
336,Service Power                         ,Java Software Engineer," Stockport, UK                ","['java', 'j2ee', 'spring', 'jquery', 'javascript']"
337,ByteDance                 ,"Backend Software Engineer, Machine Learning Systems", Singapore                ,"['python', 'golang', 'tensorflow', 'kubernetes', 'pytorch']"
338,"Lead Sherpa, Inc.                 ",VP of Engineering for Profitable SaaS," Denver, CO                ","['django', 'python', 'reactjs', 'postgresql', 'javascript']"
339,Delicious Data GmbH                 ,Backend Engineer (m/f/d)," München, Deutschland                ","['django', 'postgresql', 'redis']"
340,GeoPhy                 ,Senior Full-Stack PHP Developer," Den Haag, Netherlands                ","['php', 'amazon-web-services', 'vue.js', 'laravel', 'postgresql']"
341,BetterDoc                 ,"Mid-Level Developer (Elixir / Ruby) - Backend, Frontend and beyond"," Cologne, Germany                ","['elixir', 'ruby-on-rails', 'kubernetes', 'microservices', 'amazon-web-services']"
342,sonnen GmbH                 ,Python Backend Developer (m/w/d)," Wildpoldsried, Deutschland                ","['python', 'django', 'postgresql', 'devops', 'aws-lambda']"
343,Motius GmbH                 ,Cluster Lead Backend Engineering (m/f/d)," München, Deutschland                ","['python', 'django', 'node.js', 'docker', 'amazon-web-services']"
344,travel audience GmbH                 ,(Senior) Backend Engineer at the leading data-driven travel Advertising platform," Berlin, Germany                ","['go', 'cloud', 'postgresql', 'kubernetes', 'grpc']"
345,Leica Geosystems AG                 ,Senior Backend Software Developer (f/m/d)," Zug, Schweiz                ","['machine-learning', 'c#', 'python', 'javascript', 'linux']"
346,Digital Masterplanning                 ,Full Stack Java Script Pro...Who Wants to Dent the Universe, No office location                ,"['javascript', 'vue.js', 'twitter-bootstrap', 'amazon-web-services', 'node.js']"
347,"Lead Sherpa, Inc.                 ",Full Stack Python / Django / React Dev for Awesome Saas," Denver, CO                ","['django', 'reactjs', 'python', 'postgresql', 'javascript']"
348,"Zeplin, Inc                 ","Software Engineer, Developer Experience (API and webhooks)"," San Francisco, CA                ","['api', 'node.js', 'javascript', 'sdk', 'webhooks']"
